disease,gene_symbol,gene_full_name
Autosomal dominant non-syndromic intellectual disability,EEF1A2,eukaryotic translation elongation factor 1 alpha 2
Autosomal dominant non-syndromic intellectual disability,CAMK2A,calcium/calmodulin dependent protein kinase II alpha
Autosomal dominant non-syndromic intellectual disability,CAMK2B,calcium/calmodulin dependent protein kinase II beta
X-linked myopathy with postural muscle atrophy,FHL1,four and a half LIM domains 1
Hereditary myopathy with early respiratory failure,TTN,titin
Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation,SERPINA1,serpin family A member 1
Distal myopathy with anterior tibial onset,DYSF,dysferlin
Osteopetrosis-hypogammaglobulinemia syndrome,TNFRSF11A,TNF receptor superfamily member 11a
Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,SGCA,sarcoglycan alpha
Syndromic microphthalmia type 5,OTX2,orthodenticle homeobox 2
Glycogen storage disease due to muscle phosphorylase kinase deficiency,PHKA1,phosphorylase kinase regulatory subunit alpha 1
Glycogen storage disease due to muscle phosphorylase kinase deficiency,PHKG1,phosphorylase kinase catalytic subunit gamma 1
Osteosclerosis-developmental delay-craniosynostosis syndrome,LRP5,LDL receptor related protein 5
"Fructose-1,6-bisphosphatase deficiency",FBP1,fructose-bisphosphatase 1
Aromatase excess syndrome,CYP19A1,cytochrome P450 family 19 subfamily A member 1
Smith-McCort dysplasia,DYM,dymeclin
Smith-McCort dysplasia,RAB33B,"RAB33B, member RAS oncogene family"
UV-sensitive syndrome,ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
UV-sensitive syndrome,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
UV-sensitive syndrome,UVSSA,UV stimulated scaffold protein A
Inflammatory myofibroblastic tumor,TPM3,tropomyosin 3
Inflammatory myofibroblastic tumor,ALK,ALK receptor tyrosine kinase
Inflammatory myofibroblastic tumor,RANBP2,RAN binding protein 2
Inflammatory myofibroblastic tumor,CLTC,clathrin heavy chain
Inflammatory myofibroblastic tumor,CARS1,cysteinyl-tRNA synthetase 1
Inflammatory myofibroblastic tumor,TPM4,tropomyosin 4
Behçet disease,IL10,interleukin 10
Behçet disease,HLA-B,"major histocompatibility complex, class I, B"
Behçet disease,FAS,Fas cell surface death receptor
Behçet disease,UBAC2,UBA domain containing 2
Behçet disease,IL23R,interleukin 23 receptor
Behçet disease,MEFV,"MEFV innate immunity regulator, pyrin"
Behçet disease,STAT4,signal transducer and activator of transcription 4
Behçet disease,C4A,complement C4A (Chido/Rodgers blood group)
Behçet disease,IL12A,interleukin 12A
Behçet disease,TLR4,toll like receptor 4
Behçet disease,CCR1,C-C motif chemokine receptor 1
Behçet disease,KLRC4,killer cell lectin like receptor C4
Behçet disease,IL12A-AS1,IL12A antisense RNA 1
Behçet disease,ERAP1,endoplasmic reticulum aminopeptidase 1
Behçet disease,IFNGR1,interferon gamma receptor 1
Perry syndrome,DCTN1,dynactin subunit 1
Interstitial lung disease-brain calcification syndrome,FARSB,phenylalanyl-tRNA synthetase subunit beta
Interstitial lung disease-brain calcification syndrome,FARSA,phenylalanyl-tRNA synthetase subunit alpha
Bleeding disorder in hemophilia A carriers,F8,coagulation factor VIII
Bleeding disorder in hemophilia B carriers,F9,coagulation factor IX
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,SNORD115@,"small nucleolar RNA, C/D box 115 cluster"
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,SNRPN,small nuclear ribonucleoprotein polypeptide N
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,MAGEL2,MAGE family member L2
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,NDN,"necdin, MAGE family member"
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,OCA2,OCA2 melanosomal transmembrane protein
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,SNORD116@,"small nucleolar RNA, C/D box 116 cluster"
Malignant hyperthermia of anesthesia,CACNA1S,calcium voltage-gated channel subunit alpha1 S
Malignant hyperthermia of anesthesia,RYR1,ryanodine receptor 1
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,SNORD115@,"small nucleolar RNA, C/D box 115 cluster"
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,SNRPN,small nuclear ribonucleoprotein polypeptide N
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,MAGEL2,MAGE family member L2
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,NDN,"necdin, MAGE family member"
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,OCA2,OCA2 melanosomal transmembrane protein
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,SNORD116@,"small nucleolar RNA, C/D box 116 cluster"
Prader-Willi syndrome due to translocation,SNRPN,small nuclear ribonucleoprotein polypeptide N
Prader-Willi syndrome due to imprinting mutation,SNORD115@,"small nucleolar RNA, C/D box 115 cluster"
Prader-Willi syndrome due to imprinting mutation,SNRPN,small nuclear ribonucleoprotein polypeptide N
Prader-Willi syndrome due to imprinting mutation,MAGEL2,MAGE family member L2
Prader-Willi syndrome due to imprinting mutation,NDN,"necdin, MAGE family member"
Prader-Willi syndrome due to imprinting mutation,SNORD116@,"small nucleolar RNA, C/D box 116 cluster"
Hirschsprung disease,ATP7A,ATPase copper transporting alpha
Hirschsprung disease,ABCD1,ATP binding cassette subfamily D member 1
Hirschsprung disease,ERBB2,erb-b2 receptor tyrosine kinase 2
Hirschsprung disease,ERBB3,erb-b2 receptor tyrosine kinase 3
Hirschsprung disease,SMO,"smoothened, frizzled class receptor"
Hirschsprung disease,RET,ret proto-oncogene
Hirschsprung disease,ECE1,endothelin converting enzyme 1
Hirschsprung disease,EDN3,endothelin 3
Hirschsprung disease,EDNRB,endothelin receptor type B
Hirschsprung disease,GDNF,glial cell derived neurotrophic factor
Hirschsprung disease,NRTN,neurturin
Hirschsprung disease,SEMA3C,semaphorin 3C
Hirschsprung disease,SEMA3D,semaphorin 3D
Hirschsprung disease,SREBF1,sterol regulatory element binding transcription factor 1
Åland Islands eye disease,CACNA1F,calcium voltage-gated channel subunit alpha1 F
Purine nucleoside phosphorylase deficiency,PNP,purine nucleoside phosphorylase
Oculopharyngeal muscular dystrophy,PABPN1,poly(A) binding protein nuclear 1
Primary ciliary dyskinesia,NME5,NME/NM23 family member 5
Primary ciliary dyskinesia,DNAH1,dynein axonemal heavy chain 1
Primary ciliary dyskinesia,TTC12,tetratricopeptide repeat domain 12
Primary ciliary dyskinesia,NEK10,NIMA related kinase 10
Primary ciliary dyskinesia,DNAAF6,PIH1 domain containing 3
Primary ciliary dyskinesia,CFAP221,cilia and flagella associated protein 221
Primary ciliary dyskinesia,SPEF2,sperm flagellar 2
Primary ciliary dyskinesia,DNAJB13,DnaJ heat shock protein family (Hsp40) member B13
Primary ciliary dyskinesia,ODAD4,outer dynein arm docking complex subunit 4
Primary ciliary dyskinesia,MCIDAS,multiciliate differentiation and DNA synthesis associated cell cycle protein
Primary ciliary dyskinesia,GAS2L2,growth arrest specific 2 like 2
Primary ciliary dyskinesia,OFD1,OFD1 centriole and centriolar satellite protein
Primary ciliary dyskinesia,DNAH11,dynein axonemal heavy chain 11
Primary ciliary dyskinesia,DNAH5,dynein axonemal heavy chain 5
Primary ciliary dyskinesia,DNAI1,dynein axonemal intermediate chain 1
Primary ciliary dyskinesia,NME8,NME/NM23 family member 8
Primary ciliary dyskinesia,DNAI2,dynein axonemal intermediate chain 2
Primary ciliary dyskinesia,DNAAF2,dynein axonemal assembly factor 2
Primary ciliary dyskinesia,RSPH9,radial spoke head component 9
Primary ciliary dyskinesia,RSPH4A,radial spoke head component 4A
Primary ciliary dyskinesia,DNAAF1,dynein axonemal assembly factor 1
Primary ciliary dyskinesia,CCDC39,coiled-coil domain 39 molecular ruler complex subunit
Primary ciliary dyskinesia,CCDC40,coiled-coil domain 40 molecular ruler complex subunit
Primary ciliary dyskinesia,DNAL1,dynein axonemal light chain 1
Primary ciliary dyskinesia,DNAAF3,dynein axonemal assembly factor 3
Primary ciliary dyskinesia,DNAAF19,dynein axonemal assembly factor 19
Primary ciliary dyskinesia,DNAAF5,dynein axonemal assembly factor 5
Primary ciliary dyskinesia,HYDIN,HYDIN axonemal central pair apparatus protein
Primary ciliary dyskinesia,DNAAF11,dynein axonemal assembly factor 11
Primary ciliary dyskinesia,ODAD1,outer dynein arm docking complex subunit 1
Primary ciliary dyskinesia,DRC1,dynein regulatory complex subunit 1
Primary ciliary dyskinesia,ODAD2,outer dynein arm docking complex subunit 2
Primary ciliary dyskinesia,DNAAF4,dynein axonemal assembly factor 4
Primary ciliary dyskinesia,RSPH1,radial spoke head component 1
Primary ciliary dyskinesia,ZMYND10,zinc finger MYND-type containing 10
Primary ciliary dyskinesia,CFAP298,cilia and flagella associated protein 298
Primary ciliary dyskinesia,DRC2,dynein regulatory complex subunit 2
Primary ciliary dyskinesia,SPAG1,sperm associated antigen 1
Primary ciliary dyskinesia,CCNO,cyclin O
Primary ciliary dyskinesia,ODAD3,outer dynein arm docking complex subunit 3
Primary ciliary dyskinesia,RSPH3,radial spoke head 3
Primary ciliary dyskinesia,DRC4,dynein regulatory complex subunit 4
Primary ciliary dyskinesia,RPGR,retinitis pigmentosa GTPase regulator
Primary ciliary dyskinesia,CFAP74,cilia and flagella associated protein 74
Primary ciliary dyskinesia,DNAH7,dynein axonemal heavy chain 7
Primary ciliary dyskinesia,BRWD1,bromodomain and WD repeat domain containing 1
Primary ciliary dyskinesia,DAW1,dynein assembly factor with WD repeats 1
Primary ciliary dyskinesia,CLXN,calaxin
Primary ciliary dyskinesia,STK36,serine/threonine kinase 36
Primary ciliary dyskinesia,FOXJ1,forkhead box J1
Primary ciliary dyskinesia,DNAH9,dynein axonemal heavy chain 9
Primary ciliary dyskinesia,LRRC56,leucine rich repeat containing 56
Primary ciliary dyskinesia,CFAP300,cilia and flagella associated protein 300
Reticulate acropigmentation of Kitamura,ADAM10,ADAM metallopeptidase domain 10
Tuberous sclerosis complex,IFNG,interferon gamma
Tuberous sclerosis complex,TSC1,TSC complex subunit 1
Tuberous sclerosis complex,TSC2,TSC complex subunit 2
Moderate multiminicore disease with hand involvement,RYR1,ryanodine receptor 1
Retinitis pigmentosa,SCAPER,S-phase cyclin A associated protein in the ER
Retinitis pigmentosa,IFT88,intraflagellar transport 88
Retinitis pigmentosa,REEP6,receptor accessory protein 6
Retinitis pigmentosa,ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18
Retinitis pigmentosa,BBS1,Bardet-Biedl syndrome 1
Retinitis pigmentosa,KIAA1549,KIAA1549
Retinitis pigmentosa,TMEM216,transmembrane protein 216
Retinitis pigmentosa,IFT43,intraflagellar transport 43
Retinitis pigmentosa,AHI1,Abelson helper integration site 1
Retinitis pigmentosa,AGBL5,AGBL carboxypeptidase 5
Retinitis pigmentosa,CC2D2A,coiled-coil and C2 domain containing 2A
Retinitis pigmentosa,ABCA4,ATP binding cassette subfamily A member 4
Retinitis pigmentosa,PRCD,photoreceptor disc component
Retinitis pigmentosa,PRPF3,pre-mRNA processing factor 3
Retinitis pigmentosa,PRPF31,pre-mRNA processing factor 31
Retinitis pigmentosa,PRPF8,pre-mRNA processing factor 8
Retinitis pigmentosa,PRPH2,peripherin 2
Retinitis pigmentosa,RDH12,retinol dehydrogenase 12
Retinitis pigmentosa,RGR,retinal G protein coupled receptor
Retinitis pigmentosa,RHO,rhodopsin
Retinitis pigmentosa,RLBP1,retinaldehyde binding protein 1
Retinitis pigmentosa,ROM1,retinal outer segment membrane protein 1
Retinitis pigmentosa,RP1,RP1 axonemal microtubule associated
Retinitis pigmentosa,RP2,RP2 activator of ARL3 GTPase
Retinitis pigmentosa,RP9,RP9 pre-mRNA splicing factor
Retinitis pigmentosa,RPE65,retinoid isomerohydrolase RPE65
Retinitis pigmentosa,RPGR,retinitis pigmentosa GTPase regulator
Retinitis pigmentosa,SAG,S-antigen visual arrestin
Retinitis pigmentosa,BBS2,Bardet-Biedl syndrome 2
Retinitis pigmentosa,BEST1,bestrophin 1
Retinitis pigmentosa,CA4,carbonic anhydrase 4
Retinitis pigmentosa,CERKL,CERK like autophagy regulator
Retinitis pigmentosa,TTC8,tetratricopeptide repeat domain 8
Retinitis pigmentosa,TULP1,TUB like protein 1
Retinitis pigmentosa,USH2A,usherin
Retinitis pigmentosa,CLRN1,clarin 1
Retinitis pigmentosa,CNGA1,cyclic nucleotide gated channel subunit alpha 1
Retinitis pigmentosa,CRB1,crumbs cell polarity complex component 1
Retinitis pigmentosa,CRX,cone-rod homeobox
Retinitis pigmentosa,ARL6,ARF like GTPase 6
Retinitis pigmentosa,FSCN2,"fascin actin-bundling protein 2, retinal"
Retinitis pigmentosa,HGSNAT,heparan-alpha-glucosaminide N-acetyltransferase
Retinitis pigmentosa,IMPDH1,inosine monophosphate dehydrogenase 1
Retinitis pigmentosa,MERTK,"MER proto-oncogene, tyrosine kinase"
Retinitis pigmentosa,NR2E3,nuclear receptor subfamily 2 group E member 3
Retinitis pigmentosa,NRL,neural retina leucine zipper
Retinitis pigmentosa,OFD1,OFD1 centriole and centriolar satellite protein
Retinitis pigmentosa,PDE6A,phosphodiesterase 6A
Retinitis pigmentosa,PDE6B,phosphodiesterase 6B
Retinitis pigmentosa,SEMA4A,semaphorin 4A
Retinitis pigmentosa,CNGB1,cyclic nucleotide gated channel subunit beta 1
Retinitis pigmentosa,TOPORS,"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase"
Retinitis pigmentosa,PROM1,prominin 1
Retinitis pigmentosa,LRAT,lecithin retinol acyltransferase
Retinitis pigmentosa,EYS,EGF-like photoreceptor maintenance factor
Retinitis pigmentosa,IDH3B,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
Retinitis pigmentosa,SPATA7,spermatogenesis associated 7
Retinitis pigmentosa,GUCA1B,guanylate cyclase activator 1B
Retinitis pigmentosa,KLHL7,kelch like family member 7
Retinitis pigmentosa,SNRNP200,small nuclear ribonucleoprotein U5 subunit 200
Retinitis pigmentosa,PCARE,photoreceptor cilium actin regulator
Retinitis pigmentosa,PDE6G,phosphodiesterase 6G
Retinitis pigmentosa,IMPG2,interphotoreceptor matrix proteoglycan 2
Retinitis pigmentosa,FAM161A,FAM161 centrosomal protein A
Retinitis pigmentosa,ZNF513,zinc finger protein 513
Retinitis pigmentosa,CDHR1,cadherin related family member 1
Retinitis pigmentosa,DHDDS,dehydrodolichyl diphosphate synthase subunit
Retinitis pigmentosa,PRPF6,pre-mRNA processing factor 6
Retinitis pigmentosa,MAK,male germ cell associated kinase
Retinitis pigmentosa,RBP3,retinol binding protein 3
Retinitis pigmentosa,CFAP418,cilia and flagella associated protein 418
Retinitis pigmentosa,IFT140,intraflagellar transport 140
Retinitis pigmentosa,ZNF408,zinc finger protein 408
Retinitis pigmentosa,ARL2BP,ARF like GTPase 2 binding protein
Retinitis pigmentosa,NEK2,NIMA related kinase 2
Retinitis pigmentosa,IFT172,intraflagellar transport 172
Retinitis pigmentosa,TUB,TUB bipartite transcription factor
Retinitis pigmentosa,KIZ,kizuna centrosomal protein
Retinitis pigmentosa,SLC7A14,solute carrier family 7 member 14
Retinitis pigmentosa,PRPF4,pre-mRNA splicing tri-snRNP complex factor PRPF4
Retinitis pigmentosa,RP1L1,RP1 like 1
Retinitis pigmentosa,AHR,aryl hydrocarbon receptor
Retinitis pigmentosa,COQ8B,coenzyme Q8B
Retinitis pigmentosa,IMPG1,interphotoreceptor matrix proteoglycan 1
Retinitis pigmentosa,IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
Retinitis pigmentosa,DHX38,DEAH-box helicase 38
Retinitis pigmentosa,ARL3,ARF like GTPase 3
Retinitis pigmentosa,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
Alternating hemiplegia of childhood,CACNA1A,calcium voltage-gated channel subunit alpha1 A
Alternating hemiplegia of childhood,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
Alternating hemiplegia of childhood,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3
Alternating hemiplegia of childhood,SCN2A,sodium voltage-gated channel alpha subunit 2
Alternating hemiplegia of childhood,SLC2A1,solute carrier family 2 member 1
Alternating hemiplegia of childhood,MT-TL2,mitochondrially encoded tRNA-Leu (CUN) 2
Alternating hemiplegia of childhood,SLC1A3,solute carrier family 1 member 3
Alternating hemiplegia of childhood,RHOBTB2,Rho related BTB domain containing 2
Glycogen storage disease due to phosphoglycerate kinase 1 deficiency,PGK1,phosphoglycerate kinase 1
Glycogen storage disease due to aldolase A deficiency,ALDOA,"aldolase, fructose-bisphosphate A"
Autosomal dominant keratitis,PAX6,paired box 6
Adenylosuccinate lyase deficiency,ADSL,adenylosuccinate lyase
Sialuria,GNE,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
Sitosterolemia,ABCG5,ATP binding cassette subfamily G member 5
Sitosterolemia,ABCG8,ATP binding cassette subfamily G member 8
Granulomatosis with polyangiitis,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
Granulomatosis with polyangiitis,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1"
Granulomatosis with polyangiitis,CTLA4,cytotoxic T-lymphocyte associated protein 4
Granulomatosis with polyangiitis,PTPN22,protein tyrosine phosphatase non-receptor type 22
Granulomatosis with polyangiitis,PRTN3,proteinase 3
Parkinsonian-pyramidal syndrome,SNCA,synuclein alpha
Parkinsonian-pyramidal syndrome,FBXO7,F-box protein 7
Beta-ketothiolase deficiency,ACAT1,acetyl-CoA acetyltransferase 1
Diffuse panbronchiolitis,MUCL3,mucin like 3
Diffuse panbronchiolitis,MUC5B,"mucin 5B, oligomeric mucus/gel-forming"
Microcephaly-polymicrogyria-corpus callosum agenesis syndrome,EOMES,eomesodermin
Short stature-delayed bone age due to thyroid hormone metabolism deficiency,SECISBP2,SECIS binding protein 2
Male infertility due to globozoospermia,CATSPERT,catsper channel auxiliary subunit tau
Male infertility due to globozoospermia,GGN,gametogenetin
Male infertility due to globozoospermia,PPP2R3C,protein phosphatase 2 regulatory subunit B''gamma
Male infertility due to globozoospermia,SEPTIN4,septin 4
Male infertility due to globozoospermia,GOPC,golgi associated PDZ and coiled-coil motif containing
Male infertility due to globozoospermia,ZPBP,zona pellucida binding protein
Male infertility due to globozoospermia,SPATA16,spermatogenesis associated 16
Male infertility due to globozoospermia,DPY19L2,dpy-19 like 2
Male infertility due to globozoospermia,PICK1,protein interacting with PRKCA 1
White sponge nevus,KRT4,keratin 4
White sponge nevus,KRT13,keratin 13
Lissencephaly due to TUBA1A mutation,TUBA1A,tubulin alpha 1a
Metabolic myopathy due to lactate transporter defect,SLC16A1,solute carrier family 16 member 1
Autosomal dominant spastic paraplegia type 42,SLC33A1,solute carrier family 33 member 1
Renal pseudohypoaldosteronism type 1,NR3C2,nuclear receptor subfamily 3 group C member 2
"Spondyloepimetaphyseal dysplasia, aggrecan type",ACAN,aggrecan
Cap myopathy,MYPN,myopalladin
Cap myopathy,TPM2,tropomyosin 2
Cap myopathy,TPM3,tropomyosin 3
Autosomal recessive primary microcephaly,WARS1,tryptophanyl-tRNA synthetase 1
Autosomal recessive primary microcephaly,SARS1,seryl-tRNA synthetase 1
Autosomal recessive primary microcephaly,CIT,citron rho-interacting serine/threonine kinase
Autosomal recessive primary microcephaly,NUP37,nucleoporin 37
Autosomal recessive primary microcephaly,NCAPD3,non-SMC condensin II complex subunit D3
Autosomal recessive primary microcephaly,CENPE,centromere protein E
Autosomal recessive primary microcephaly,COPB2,coat protein complex I subunit beta 2
Autosomal recessive primary microcephaly,PDCD6IP,programmed cell death 6 interacting protein
Autosomal recessive primary microcephaly,TRAPPC10,trafficking protein particle complex subunit 10
Autosomal recessive primary microcephaly,MCM7,minichromosome maintenance complex component 7
Autosomal recessive primary microcephaly,METTL5,"methyltransferase 5, N6-adenosine"
Autosomal recessive primary microcephaly,TRAPPC14,trafficking protein particle complex subunit 14
Autosomal recessive primary microcephaly,KIF14,kinesin family member 14
Autosomal recessive primary microcephaly,TAF13,TATA-box binding protein associated factor 13
Autosomal recessive primary microcephaly,PYCR2,pyrroline-5-carboxylate reductase 2
Autosomal recessive primary microcephaly,CDK5RAP2,CDK5 regulatory subunit associated protein 2
Autosomal recessive primary microcephaly,CPAP,centrosome assembly and centriole elongation protein
Autosomal recessive primary microcephaly,ASPM,assembly factor for spindle microtubules
Autosomal recessive primary microcephaly,MCPH1,microcephalin 1
Autosomal recessive primary microcephaly,STIL,STIL centriolar assembly protein
Autosomal recessive primary microcephaly,WDR62,WD repeat domain 62
Autosomal recessive primary microcephaly,CEP152,centrosomal protein 152
Autosomal recessive primary microcephaly,CEP135,centrosomal protein 135
Autosomal recessive primary microcephaly,KNL1,kinetochore scaffold 1
Autosomal recessive primary microcephaly,PHC1,polyhomeotic homolog 1
Autosomal recessive primary microcephaly,CDK6,cyclin dependent kinase 6
Autosomal recessive primary microcephaly,SASS6,SAS-6 centriolar assembly protein
Autosomal recessive primary microcephaly,MFSD2A,"MFSD2 lysolipid transporter A, lysophospholipid"
Autosomal recessive primary microcephaly,ANKLE2,ankyrin repeat and LEM domain containing 2
Generalized pseudohypoaldosteronism type 1,SCNN1A,sodium channel epithelial 1 subunit alpha
Generalized pseudohypoaldosteronism type 1,SCNN1B,sodium channel epithelial 1 subunit beta
Generalized pseudohypoaldosteronism type 1,SCNN1G,sodium channel epithelial 1 subunit gamma
Sarcoidosis,BTNL2,butyrophilin like 2
Sarcoidosis,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
6q16 microdeletion syndrome,SIM1,SIM bHLH transcription factor 1
MEDNIK syndrome,AP1B1,adaptor related protein complex 1 subunit beta 1
MEDNIK syndrome,AP1S1,adaptor related protein complex 1 subunit sigma 1
Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome,ABHD12,"abhydrolase domain containing 12, lysophospholipase"
Tetralogy of Fallot,KDR,kinase insert domain receptor
Tetralogy of Fallot,ZFPM2,"zinc finger protein, FOG family member 2"
Tetralogy of Fallot,GATA4,GATA binding protein 4
Tetralogy of Fallot,JAG1,jagged canonical Notch ligand 1
Tetralogy of Fallot,NKX2-5,NK2 homeobox 5
Tetralogy of Fallot,GATA5,GATA binding protein 5
Tetralogy of Fallot,GJA5,gap junction protein alpha 5
Tetralogy of Fallot,NKX2-6,NK2 homeobox 6
Tetralogy of Fallot,GDF1,growth differentiation factor 1
Tetralogy of Fallot,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
Tetralogy of Fallot,GATA6,GATA binding protein 6
Tetralogy of Fallot,FLT4,fms related receptor tyrosine kinase 4
Tetralogy of Fallot,TBX1,T-box transcription factor 1
Immunodeficiency with factor I anomaly,CFI,complement factor I
Autosomal dominant polycystic kidney disease,GANAB,glucosidase II alpha subunit
Autosomal dominant polycystic kidney disease,NEK8,NIMA related kinase 8
Autosomal dominant polycystic kidney disease,ALG9,"ALG9 alpha-1,2-mannosyltransferase"
Autosomal dominant polycystic kidney disease,DNAJB11,DnaJ heat shock protein family (Hsp40) member B11
Autosomal dominant polycystic kidney disease,ALG5,ALG5 dolichyl-phosphate beta-glucosyltransferase
Autosomal dominant polycystic kidney disease,PKD1,"polycystin 1, transient receptor potential channel interacting"
Autosomal dominant polycystic kidney disease,PKD2,"polycystin 2, transient receptor potential cation channel"
Autosomal dominant polycystic kidney disease,BICC1,BicC family RNA binding protein 1
Autosomal dominant polycystic kidney disease,IFT140,intraflagellar transport 140
Immunodeficiency with factor H anomaly,CFH,complement factor H
Autosomal dominant severe congenital neutropenia,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
Autosomal dominant severe congenital neutropenia,ELANE,"elastase, neutrophil expressed"
Autosomal dominant severe congenital neutropenia,GFI1,growth factor independent 1 transcriptional repressor
Autosomal dominant severe congenital neutropenia,CLPB,ClpB family mitochondrial disaggregase
Autosomal dominant severe congenital neutropenia,SRP19,signal recognition particle 19
Autosomal recessive spastic ataxia of Charlevoix-Saguenay,SACS,sacsin molecular chaperone
Congenital factor XII deficiency,F12,coagulation factor XII
Stickler syndrome,BMP4,bone morphogenetic protein 4
BAG3-related myofibrillar myopathy,BAG3,BAG cochaperone 3
Pancreatic insufficiency-anemia-hyperostosis syndrome,COX4I2,cytochrome c oxidase subunit 4I2
Dubin-Johnson syndrome,ABCC2,ATP binding cassette subfamily C member 2
Thiamine-responsive encephalopathy,SLC19A3,solute carrier family 19 member 3
Takayasu arteritis,HLA-B,"major histocompatibility complex, class I, B"
Takayasu arteritis,IL12B,interleukin 12B
Takayasu arteritis,MLX,MAX dimerization protein MLX
EAST syndrome,KCNJ10,potassium inwardly rectifying channel subfamily J member 10
Extramammary Paget disease,ERBB2,erb-b2 receptor tyrosine kinase 2
"Isolated autosomal dominant hypomagnesemia, Glaudemans type",KCNA1,potassium voltage-gated channel subfamily A member 1
Endocrine-cerebro-osteodysplasia syndrome,CILK1,ciliogenesis associated kinase 1
"Congenital myopathy, Paradas type",DYSF,dysferlin
Congenital mesoblastic nephroma,ETV6,ETS variant transcription factor 6
Congenital mesoblastic nephroma,NTRK3,neurotrophic receptor tyrosine kinase 3
Wolfram syndrome,WFS1,wolframin ER transmembrane glycoprotein
Wolfram syndrome,CISD2,CDGSH iron sulfur domain 2
Cerebral autosomal recessive arteriopathy-subcortical infarcts-leukoencephalopathy,HTRA1,HtrA serine peptidase 1
Adult-onset dystonia-parkinsonism,PLA2G6,phospholipase A2 group VI
Gerstmann-Straussler-Scheinker syndrome,PRNP,prion protein (Kanno blood group)
Fatal familial insomnia,PRNP,prion protein (Kanno blood group)
Whipple disease,IRF4,interferon regulatory factor 4
Hereditary hypercarotenemia and vitamin A deficiency,BCO1,beta-carotene oxygenase 1
GTP cyclohydrolase I deficiency,GCH1,GTP cyclohydrolase 1
Immune thrombocytopenia,FCGR2C,Fc gamma receptor IIc (gene/pseudogene)
15q13.3 microdeletion syndrome,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
Bernard-Soulier syndrome,GP1BA,glycoprotein Ib platelet subunit alpha
Bernard-Soulier syndrome,GP1BB,glycoprotein Ib platelet subunit beta
Bernard-Soulier syndrome,GP9,glycoprotein IX platelet
Congenital atransferrinemia,TF,transferrin
Isolated cleft lip,TP63,tumor protein p63
Isolated cleft lip,IRF6,interferon regulatory factor 6
Isolated cleft lip,NECTIN1,nectin cell adhesion molecule 1
Isolated cleft lip,MSX1,msh homeobox 1
Cleft lip/palate,ARHGAP29,Rho GTPase activating protein 29
Cleft lip/palate,TP63,tumor protein p63
Cleft lip/palate,BMP4,bone morphogenetic protein 4
Cleft lip/palate,COBLL1,cordon-bleu WH2 repeat protein like 1
Cleft lip/palate,RIC1,RIC1 partner of RAB6A GEF complex
Cleft lip/palate,NECTIN1,nectin cell adhesion molecule 1
Cleft lip/palate,ARHGEF38,Rho guanine nucleotide exchange factor 38
Cleft lip/palate,CDH1,cadherin 1
Cleft lip/palate,IRF6,interferon regulatory factor 6
Cleft lip/palate,PDGFRA,platelet derived growth factor receptor alpha
Cleft lip/palate,MSX1,msh homeobox 1
Cleft lip/palate,DLG1,discs large MAGUK scaffold protein 1
Cleft lip/palate,DLX4,distal-less homeobox 4
Acatalasemia,CAT,catalase
Congenital isolated ACTH deficiency,TBX19,T-box transcription factor 19
Dihydropyrimidine dehydrogenase deficiency,DPYD,dihydropyrimidine dehydrogenase
Cushing syndrome due to bilateral macronodular adrenocortical disease,KDM1A,lysine demethylase 1A
Cushing syndrome due to bilateral macronodular adrenocortical disease,GNAS,GNAS complex locus
